ID,NAME
19,39th Street Killers
89,Catalysis
95,MORTAL LEGENDS
230,PT-Family
231,Destructive Anomaly
355,Notorious Crew
366,Evolution
478,PT-Penguins
525,Ministry of Mayhem
937,Sport Club
946,PT-IronHearts
1117,Aftermath
1149,HT-Original
2013,Subversive Alliance
2036,Urban Broil
2095,Guerrilla Warfare
2379,MIDNIGHT Magic
2736,Itsi Bitsi Bikini
3241,JFK
3251,The Psychonauts
5113,ThugLife
5431,Ghost Ship
6538,Elysium
6541,Anarquia e Morte
6613,Moustache Riders
6731,The Next Level
6780,The United
6799,The Untouchables
6834,TBA - Rise Above
6895,Iron Rose Cartel
6924,JFR
6974,Onion Smugglers
6984,Wraith
7002,Karma Chameleons
7049,39th Street Healers
7093,MOB
7115,Republic Of Futuria
7136,FUN in the SUN
7197,HeLa
7227,Damage Corp
7282,RAWR
7652,Rogue Nurses
7680,Malaysia
7709,Vulpes Vulpes
7818,The Box
7835,Mentos and Cola
7935,The Collective
7969,Killer Mafia Kings
7986,Assassin Team
7990,Nomads
8058,Tik Tok
8062,Stygian: Awakening
8065,THE DEFIANTS
8076,Order Through Chaos
8085,Nuclear Blast
8124,The Collective Farm
8151,LONDON
8152,Midnight Ghosts
8181,Travellers Paradise
8205,REKreative
8247,Secret Intel Service
8255,Scream Silence
8273,Pandamonium
8285,Get Stuffed
8317,Naughty Souls™
8322,MORTAL LEGENDS 2
8336,Relentless
8384,Savage Plague
8397,ilimitada
8400,Lingering Insanity
8422,MMCP
8455,TR1BE
8468,Bloodbath and Beyond
8500,Total Domination
8509,The Mighty Ducks
8510,Ara Pacis
8520,PnB
8537,NNGO
8566,Undecided
8585,S-I-S Full Send
8606,We Are Reviving
8677,Arsonists Endeavour
8687,The Sanctuary
8706,The UnLeashed Sykoz
8715,Legacy S.V.U.
8766,Hyperion
8795,DEAD BODY CREW
8802,Bengal Tigers
8803,Buttgrass Inc
8811,Impulse 13!
8819,Violent if Necessary
8836,Vinerri
8867,DawnRazers
8918,FITZ FAMILY
8938,Arcadia
8944,Ambulance Chasers
8954,Nuclear Armageddon
8989,JUX HQ
9032,Wolf Pack
9036,The Black Pearl
9041,PT-Calculated
9047,DarkHearts
9055,Natural Selection IV
9100,The Black Hand
9110,709&#039;s The Peaky Blinders
9166,Phat_Buds
9171,Iron Magnum
9176,SA - Iron Fist
9201,aXiom
9271,Twisted Legacy
9280,Nomads Medical
9294,Bada Bing! NOT FOR SALE
9305,INFINITE DIMENSION II
9353,Ministry of Mayhem II
9356,Infernal Plague
9357,ReactoR
9405,Lake Of Lerna
9412,BLACK STATUES
9420,Fallen Souls
9455,INFINITE DIMENSION IV
9517,Overwatch
9524,Equilibrium
9533,Natural Selection
9577,PIHB
9674,IA Healers
9689,NNGO Deja 2
9720,Follow Follow
9745,Emergency Room
9953,The Drunk Tank
10140,In Memory of the Fallen
10174,The Quidnunks HQ
10296,Equilibrate
10463,Warriors 4077th
10532,Anon
10542,The Fellowship of LOL
10566,The Rifle Company
10591,Renegade
10610,39th Street Killers XR
10624,Thor's Dragoons
10739,DOS - HOOLIGANS
10741,Trisolary
10818,Balkan Wolverines
10820,PnB Penguins
10826,Blood History
10850,White House Collective
10851,Yakuza - Young Blood
10856,Romania Elite Kommando
10877,House of Dragonborn
10913,Unbroken Warriors
10960,Lex Salvos
10979,BAD COMPANY ™
11062,Modus Operandi
11162,Hello High
11279,Avaritia
11356,-UGK-
11376,Also Impulse
11428,Perpetual Motion
11522,Honey Badgers Medical
11539,The Sick Bay
11559,The Masters
11581,Forged Through War
11715,0merta
11747,Natural Selection II
11796,HT-
12094,Natural Selection III
12249,PnB Vitality
12255,Safe Haven
12645,The Last Post
12863,Nuclear Development
12893,Darkside
12894,DOS - Dominion.exe
12905,Dutch-United
12912,The House Of Retribution
13129,Batavia
13131,Valhalla - Bound
13138,420 MAFIA
13180,Tear Tore Torn
13211,Power Rangers
13274,SPECTRE
13307,INFINITE DIMENSION M
13343,The Defiant
13377,The Brotherhood of War
13383,SA Infinite - Recruiting
13502,Ðead or Alive
13611,Lithuania
13665,ShadowRazers
13737,The War Rig
13784,WarBirds
13789,Aperture Science
13842,BR - Brazilian Unit
13851,Nuclear Engineering
13872,Fluffle
14052,Ancestors
14078,~Twisted~
14270,The Continental
14365,JFK 2.1
14386,TRANQUILITY
14432,ADRENALINE
14441,The Cake Crusaders
14581,Stygian: Underworld
14686,Endless Endeavor
14760,El Condor
14768,RISE FROM RUIN
14820,Unbroken Legion
14821,Caledonia
15046,We Are Rising
15083,Leeches
15120,Wolf Pack Next Generation
15151,Damage LLC
15154,The Fallen
15222,Phoenix Rising
15226,Whitenoise
15255,Devious
15256,The Masters Juniors
15286,C2C
15446,Dopeheads on Mopeds
15595,Oracles of Rapture
15602,Lone Wolves
15644,DOS - New Sith Order
15655,Ravage
15837,Suits
15929,The Inquisition
15930,Aces 2.0
16040,Winter is Coming
16053,Bubonic Slayers
16057,Destination Unknown
16120,Stoners Reeking Havoc
16187,Violent if Necessary X
16247,BoW 4.20
16282,INFINITE DIMENSION
16299,The Soulless.
16312,39th Street Killers X
16335,November Chopin
16381,The Dothraki
16424,Man Down
16503,The Four Twenty C-K-A
16628,Chain Reaction
16634,7th St. Assassins
17001,Trigger Happy Devils
17133,Torn Medical
17250,Top Gunnz
17587,Nomads 2.0
17589,Starlight
17776,ThugLife Recruiting
17845,OS Medical
18415,Unwavering Ruthless Loyal
18420,The Black Knights
18569,SA Igloo
18678,Murder Junkies
18736,Helvete
19249,Tanglewood
19297,Nub Nation
20211,Royal Beasts
20303,Wolf Pack Revival
20460,Syndicate of Brotherhood
20465,SMTH
20501,Brahmastra
20514,ShadowSpire
20554,Kabisote Crime Family
20567,Fate No More
20747,Damage Inc
20881,Horse Cox Energy
21028,Nuclear Clinic
21040,Equilibrium: Foundation
21069,Plushies Without Borders!
21234,Eastern Butchers
21239,Hacienda
21368,Future Prophecies
21526,NS Bomb Shelter
21630,Jisatsu Club
21665,FATALITY
21716,The Covenant
21973,UNDERWORLD
22295,INFINITE DIMENSION III
22492,Dystopia
22680,LEGACY Part Deux
22691,Stoned Raiders
22781,The Wolverines
22841,Misfits Of Mayhem
22887,BoW-Subversive Generation
22932,No Signal
23188,Reign of Confusion
23193,Ayastigi
23952,Midnight Plague
24693,Crusaders
25001,The Red Knights
25025,DP Warriors
25335,Habitat
25845,Silent Shadows
25874,Imminent Apocalypse
26043,Atlas
26312,The Avengers
26437,The Chimera's Den
26885,AnArchY
27211,Ares Macrotechnology
27223,Little Stompers
27266,The Hero
27312,SA One Punch
27351,The New Mafia
27370,Desert Eagle
27554,Trankilo
27576,Dirty Deeds Inc
27850,Yeti Crime Syndicate
27902,Yakuza - Infinity
28073,Goodnight Moon
28205,Invictus
28349,Teufel Hunden Barracks
29151,Potato club
29865,Elysian
30009,White Rabbits
30085,Rampage Total Destruction
30490,Paws
30584,Black Bunny
30820,Wolverines Gone Wild
31312,TORNado
31764,MasterMinds_of_Mischief
32395,-Aurora-
32508,Lazy People
32535,Gangster Konon!!!
32585,Heart of a Pirate
32781,Chemical Resistance
33007,HAKA
33097,Medix n’ Chill
33241,Nub Navy
33458,Plata o Plomo
33783,Impulse
34352,Merciful Vanguards
34623,Destination Vacation
34903,From 0 to 9
35140,Vault 76
35280,Alcoholic Drug Abusers
35423,S.W.A.T
35507,The Nest
35608,NoRespect
35739,Kingsmen
35776,IA Black
35831,709 South Side Rd
35840,Baby Champers
35965,The Corleone Family
36134,Silver Hand
36140,Princess Dale's Beavers
36201,-PopZ-
36457,Keepers of the Fallen
36660,Eternal Eclipse
36691,Rabid Chihuahuas
36891,FLATLINE
37093,Voodoo
37131,-StONeD rAiDeRs-
37132,Fowl
37185,Rising Insanity
37426,The Crows
37450,TORN CITY CARTEL
37498,The Railroad
37530,Druggies in Snuggies
37537,New Sith Order
37595,The Corporation
37786,LEGACY
37838,Criminal Mimes
37884,Us Army
38319,Friday 13
38482,Jokerz
38532,The People Vs VaflioG
38668,Project Incognito
38675,The Legion of Evil
38741,UPHEAVAL
38761,Shadow Healers
38824,Wonton Winds
38847,Vigilantes
38887,Medics
39010,SCALLYWAGS
39391,Zero Requiem
39531,The Fortunate Sons
39736,Breathing causes cancer
39756,Abusement Park
39894,Synthetic Kingdom Recluse
39960,Brave Survivors
40039,Ether
40325,The Tree
40401,OM-Medical
40420,Too Sober for this Shit
40449,RogueRazers
40624,Toxic Reign
40664,Imperial Medihare
40774,Moshpit
40775,WarDogs HQ
40880,Apex Ibex
40905,The Browncoats
40918,Torn Galactic Republic
40951,Rise Again
40959,Epic Mafia
40992,Medic!!
41066,BoOtCaMp
41067,C13H16CINO
41218,31st Assassination Corps
41297,DOS - Dog Pen Mafia
41363,Amazon Prime
41419,Riot
41471,Risen Phoenix
41545,The Imperial Hegemon
41620,Synthetic Syndicate
41702,The  Guardian angel&#039;s
